TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SEASON
1610612760,Oklahoma City Thunder,10,6,4,0.6,480.0,109.6,110.9,102.3,104.5,7.4,6.4,0.586,2.06,17.7,0.253,0.683,0.475,0.118,0.53,0.563,96.8,95.2,79.33,953,0.545,8,7,2,2,8,8,2,2,8,6,6,12,13,13,3,7,9,5,2,2023-24
1610612753,Orlando Magic,7,3,4,0.429,336.0,102.9,104.9,98.9,100.0,3.9,4.9,0.547,1.34,14.8,0.304,0.757,0.522,0.151,0.481,0.527,97.2,95.71,79.76,669,0.503,9,9,2,8,9,13,1,3,14,15,16,5,4,3,15,15,15,3,6,2023-24
1610612755,Philadelphia 76ers,6,2,4,0.333,293.0,113.4,116.9,112.4,116.7,1.1,0.2,0.622,1.94,17.6,0.316,0.63,0.481,0.128,0.525,0.574,94.2,91.09,75.9,555,0.501,10,10,2,10,10,3,11,7,3,9,7,2,15,11,8,9,6,16,7,2023-24
1610612756,Phoenix Suns,4,0,4,0.0,192.0,108.6,109.3,120.6,123.2,-12.0,-13.9,0.56,1.39,16.0,0.214,0.608,0.418,0.151,0.528,0.586,96.6,95.25,79.38,378,0.43,15,15,2,15,15,12,16,14,13,14,13,14,16,16,14,8,3,4,14,2023-24
1610612738,Boston Celtics,11,6,5,0.545,533.0,110.9,114.4,105.1,108.1,5.8,6.2,0.545,1.52,15.8,0.308,0.669,0.495,0.143,0.528,0.569,94.4,91.68,76.4,1017,0.535,7,6,10,6,7,4,2,3,12,9,11,9,13,9,7,7,6,15,3,2024-25
1610612739,Cleveland Cavaliers,9,5,4,0.556,432.0,119.7,122.6,109.3,110.7,10.3,11.8,0.56,1.89,16.8,0.33,0.764,0.537,0.124,0.551,0.597,99.2,97.39,81.16,877,0.542,8,7,1,4,8,1,5,1,11,2,7,5,2,1,2,3,2,6,2,2024-25
1610612743,Denver Nuggets,14,7,7,0.5,682.0,106.6,109.3,112.9,114.8,-6.3,-5.5,0.587,1.43,16.4,0.339,0.721,0.529,0.161,0.514,0.552,98.3,96.21,80.18,1370,0.47,5,5,12,7,5,11,10,11,7,13,10,3,3,3,12,11,11,7,11,2024-25
1610612765,Detroit Pistons,6,2,4,0.333,288.0,106.2,109.4,107.5,109.8,-1.3,-0.4,0.538,1.21,15.1,0.325,0.699,0.519,0.169,0.511,0.562,100.4,97.92,81.6,585,0.498,11,11,1,11,11,10,3,8,13,15,12,6,6,4,14,12,9,4,9,2024-25
1610612744,Golden State Warriors,12,5,7,0.417,576.0,106.4,108.6,109.3,112.0,-2.9,-3.4,0.631,1.61,17.3,0.313,0.654,0.477,0.152,0.511,0.545,97.0,94.83,79.03,1139,0.473,6,7,12,10,6,13,7,10,3,6,5,8,15,13,10,13,14,10,10,2024-25
1610612745,Houston Rockets,7,3,4,0.429,336.0,109.5,111.5,107.9,111.7,1.6,-0.2,0.533,1.44,15.0,0.358,0.708,0.536,0.145,0.51,0.548,95.7,93.21,77.68,653,0.506,9,9,1,8,10,8,6,7,14,11,13,1,5,2,9,14,12,11,6,2024-25
1610612754,Indiana Pacers,23,15,8,0.652,1114.0,112.5,114.8,110.1,112.7,2.4,2.1,0.648,1.84,19.2,0.263,0.686,0.485,0.144,0.562,0.599,100.7,98.52,82.1,2286,0.529,1,2,15,2,1,3,8,5,1,4,2,15,10,11,8,1,1,3,4,2024-25
1610612746,LA Clippers,7,3,4,0.429,341.0,113.8,115.9,111.6,115.3,2.2,0.6,0.632,2.17,19.6,0.284,0.662,0.473,0.128,0.557,0.581,94.5,92.06,76.72,654,0.506,9,9,1,8,9,2,11,6,2,1,1,12,14,14,3,2,3,13,7,2024-25
1610612747,Los Angeles Lakers,5,1,4,0.2,240.0,107.8,109.1,111.9,116.7,-4.1,-7.6,0.613,1.45,16.9,0.275,0.635,0.466,0.159,0.525,0.57,94.5,92.0,76.67,460,0.469,12,12,1,12,13,12,12,13,5,10,6,13,16,15,11,8,5,14,12,2024-25
1610612763,Memphis Grizzlies,4,0,4,0.0,192.0,95.9,97.6,115.2,117.4,-19.3,-19.8,0.569,1.06,14.8,0.293,0.708,0.505,0.187,0.476,0.525,104.5,102.63,85.52,412,0.401,15,15,1,15,15,16,13,15,9,16,16,10,4,7,16,15,15,1,15,2024-25
1610612748,Miami Heat,4,0,4,0.0,192.0,102.3,102.7,133.3,136.2,-31.0,-33.5,0.586,1.33,16.8,0.267,0.684,0.466,0.172,0.529,0.547,93.9,92.75,77.29,372,0.351,15,15,1,15,15,15,16,16,8,14,8,14,11,16,15,6,13,12,16,2024-25
1610612749,Milwaukee Bucks,5,1,4,0.2,245.0,109.9,111.1,117.2,118.0,-7.3,-6.9,0.598,1.83,17.5,0.256,0.778,0.502,0.131,0.535,0.564,98.3,97.47,81.22,496,0.442,12,12,1,12,12,9,15,12,6,5,4,16,1,8,5,5,8,5,13,2024-25
1610612750,Minnesota Timberwolves,15,9,6,0.6,720.0,110.1,113.6,109.2,110.5,1.0,3.1,0.613,1.54,17.7,0.343,0.694,0.518,0.163,0.539,0.574,98.2,96.13,80.11,1440,0.511,4,4,11,3,4,6,4,4,4,8,3,2,9,5,13,4,4,8,5,2024-25
1610612752,New York Knicks,18,10,8,0.556,874.0,109.6,112.7,109.9,113.2,-0.3,-0.5,0.504,1.44,14.9,0.33,0.695,0.509,0.142,0.519,0.559,98.6,95.89,79.91,1750,0.498,3,3,15,4,3,7,9,9,16,12,15,4,8,6,6,10,10,9,8,2024-25
1610612760,Oklahoma City Thunder,23,16,7,0.696,1109.0,112.2,114.3,103.6,105.7,8.6,8.6,0.56,1.86,16.6,0.292,0.676,0.484,0.123,0.522,0.566,102.0,100.03,83.35,2308,0.547,1,1,12,1,2,5,1,2,10,3,9,11,12,12,1,9,7,2,1,2024-25
1610612753,Orlando Magic,5,1,4,0.2,240.0,99.9,103.8,113.7,117.4,-13.8,-13.7,0.522,1.6,14.9,0.318,0.698,0.49,0.129,0.47,0.501,93.6,90.4,75.33,451,0.402,12,12,1,12,13,14,14,14,15,7,14,7,7,10,4,16,16,16,14,2024-25
